	orderid	latitude	longitude	estimateddeliverytime	totalprice	zip	city	time
0	1552679	37.69707329999999	-122.48590320000001	259.0	48.36	94132	Daly City	0.04166111111111111
1	1552697	37.7821852	-122.4545442	54.0	46.86	94118	San Francisco	0.15168805555555556
2	1552675	37.7808405	-122.39582	228.0	64.39	94107	San Francisco	0.2510686111111111
3	1552934	37.78313060000001	-122.3889622	209.0	81.51	94107	San Francisco	0.27800555555555556
4	1552983	37.323786	-121.878904	345.0	74.8	95113	San José	0.5244325000000001
5	1552998	37.7736659	-122.2784502	0.0	92.77	94501	Alameda	0.5316602777777778
6	1553031	37.75425900000001	-122.39896200000001	18.0	112.24	94114	San Francisco	0.7578869444444445
7	1552980	37.378558	-122.12542	105.0	65.88	94023	Los Altos	0.8912647222222222
8	1553228	37.79577620000001	-122.2160759	126.0	42.94	94602	Oakland	1.1608944444444445
9	1553155	37.3358189	-121.8877351	29.0	66.69	95113	San José	1.1925369444444445
10	1553212	37.801294	-122.430237	141.0	145.73	94114	San Francisco	1.4279352777777778
11	1553357	37.803088	-122.429662	111.0	96.65	94114	San Francisco	1.860688888888889
12	1553156	36.9669782	-121.8933159	319.0	62.73	95003	Aptos	1.937618611111111
13	1553374	37.6661194	-122.07833799999999	263.0	38.38	25426	Hayward	1.9398408333333335
14	1553407	37.39731679999999	-122.0806149	183.0	41.4	94043	Mountain View	2.0207408333333334
15	1553438	37.6672706	-122.4169317	90.0	60.99	94134	South San Francisco	2.1095825
16	1553415	37.3612684	-121.9582232	101.0	91.8	95052	Santa Clara	2.1428380555555555
17	1553348	37.7790845	-122.43740849999999	120.0	47.36	94115	San Francisco	2.184993611111111
18	1553617	37.774159	-122.431604	152.0	37.06	94114	San Francisco	2.464771388888889
19	1553605	34.0077341	-118.4873271	5.0	63.23	CA 90401	Santa Monica	2.6362341666666667
20	1553695	37.6365968	-122.41690449999999	209.0	43.96	94066	San Bruno	2.6222408333333336
21	1553572	37.372918	-122.2072838	3.0	56.92	94028	Portola Valley	2.675321388888889
22	1553520	37.330380100000006	-121.8439018	4.0	76.95	95122	San José	2.7336925
23	1553484	37.7840519	-122.42388259999998	90.0	33.68	94114	San Francisco	2.88855
24	1553682	37.5320904	-122.28463559999999	119.0	38.45	94002-2121	San Mateo	2.886152777777778
25	1553639	37.8681059	-122.2907543	0.0	72.56	94710	Berkeley	2.9850408333333336
26	1553759	37.351948	-121.94286899999999	229.0	37.55	95052	Santa Clara	2.1681508333333332
27	1553640	37.6568639	-122.4714656	292.0	47.58	94044	Daly City	3.2585369444444443
28	1553697	37.7388169	-122.45070020000001	173.0	101.1	94127	San Francisco	3.3013388888888886
29	1553845	37.480355	-122.21563300000001	158.0	46.37	94063	Redwood City	3.409689722222222
30	1553953	37.549942	-122.3232855	265.0	51.75	94402	San Mateo	3.5136408333333335
31	1554053	37.6577806	-122.07934170000001	235.0	47.37	25426	Hayward	3.651063888888889
32	1553903	37.7696373	-122.4039855	37.0	92.62	94114	San Francisco	3.7801694444444442
33	1554075	37.784232	-122.45765	217.0	54.97	94114	San Francisco	3.7903527777777777
34	1554097	37.78419279999999	-122.4447403	153.0	54.42	94114	San Francisco	3.952285277777778
35	1554268	37.5227623	-122.2772186	179.0	49.68	94002-2121	Belmont	4.063846388888889
36	1554160	37.3551958	-121.8265722	145.0	45.61	95127:95148	San José	3.9571
37	1554354	32.781864299999995	-117.0827811	135.0	34.19	92120	San Diego	4.319325833333333
